Page name,Measured loading time [ms]
CSPM#52-10-00_w_#FM-DriveF5,691
CSPM#18-18-00_n_#FM-DevicesF5,678
CSPM#23-11-00_w_#FM-StandF6,553.4
CSPM#52-11-00_w_#FM-DriveF6,354.8
CSPM#18-24-00_n_#FM-DevicesF6,1082.4
CSPM#18-19-00_n_#FM-FMExit-Devices,734
CSPM#08-11-00_w_#FM-Disturbances,850.25
CSPM#08-10-00_w_#FM-Reports,989.4
CSPM#65-01-00_n_#DC-Overview,706.5
CSPM#65-02-00_w_#DC-Production-Setup,693.75
CSPM#18-28-00_n_#DC-LC-Devices,113.67
CSPM#18-29-00_n_#DC-LCEdgeMasking-Devices,507.86
CSPM#18-25-00_n_#DC-LCTop-Devices,927
CSPM#18-26-00_n_#DC-LCBottom-Devices,890.14
CSPM#01-04-00_n_#DC-Overview,756.29
CSPM#19-08-00_n_#DC-Production-Sequences,412.5
CSPM#16-09-00_w_#DC-DC1,386.67
CSPM#16-10-00_w_#DC-DC2,717.29
CSPM#54-01-00_n_#DC-GroupJogging,1203.6
CSPM#18-27-00_n_#DC-DCEntry-Devices,671.83
CSPM#23-12-00_w_#DC-CoilerDC1,863.75
CSPM#52-12-00_w_#DC-MandrelDC1,716.67
CSPM#18-20-00_n_#DC-DevicesDC1,632.5
CSPM#23-13-00_w_#DC-CoilerDC2,582.17
CSPM#52-13-00_w_#DC-MandrelDC2,710.33
CSPM#18-21-00_n_#DC-DevicesDC2,993
CSPM#01-05-00_n_#CC-Overview,753.2
CSPM#23-16-00_n_#CC-CoilInspectionStation,632.5
CSPM#18-34-00_n_#CC-CC-Devices,914.86
i8Sys_w_Environment#Network,706.17
i8Sys_w_Environment_Fieldbus_Network_RM,712
i8Sys_w_Environment_Fieldbus_Network_FM,777.43
i8Sys_w_NodeRights,289
i8App_n_Connections,487.67
i8Sys_n_Information,918.17
i8Sys_w_UserRights,966.5
i8Sys_n_Database,878.83
i8Sys_n_Application,1079.8
